id,device,timestamp,deviceId,rssi,rssiOld,beaconId,beaconName
560313859,142_(W10T_A7H_3),2022-04-26T13:20:19.957+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560313858,142_(W10T_A7H_3),2022-04-26T13:20:19.957+00:00,509554898,-74,202,509542378,W10T_A7H_B-1-7
560313911,142_(W10T_A7H_3),2022-04-26T13:20:28.071+00:00,509554898,-77,205,509542097,W10T_A7H_B-1-2
560313910,142_(W10T_A7H_3),2022-04-26T13:20:28.071+00:00,509554898,-73,201,509558438,W10T_A7H_B-1-10
560313951,142_(W10T_A7H_3),2022-04-26T13:20:36.170+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560313950,142_(W10T_A7H_3),2022-04-26T13:20:36.170+00:00,509554898,-73,201,509542314,W10T_A7H_B-1-6
560313947,142_(W10T_A7H_3),2022-04-26T13:20:36.170+00:00,509554898,-72,200,509542378,W10T_A7H_B-1-7
560314002,142_(W10T_A7H_3),2022-04-26T13:20:41.274+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560314036,142_(W10T_A7H_3),2022-04-26T13:20:48.379+00:00,509554898,-70,198,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560314035,142_(W10T_A7H_3),2022-04-26T13:20:48.379+00:00,509554898,-70,198,509558438,W10T_A7H_B-1-10
560314034,142_(W10T_A7H_3),2022-04-26T13:20:48.379+00:00,509554898,-70,198,509542097,W10T_A7H_B-1-2
560314092,142_(W10T_A7H_3),2022-04-26T13:20:55.484+00:00,509554898,-69,197,509558351,W10T_A7H_B-1-9
560314091,142_(W10T_A7H_3),2022-04-26T13:20:55.484+00:00,509554898,-69,197,509542097,W10T_A7H_B-1-2
560314090,142_(W10T_A7H_3),2022-04-26T13:20:55.484+00:00,509554898,-69,197,509558438,W10T_A7H_B-1-10
560314135,142_(W10T_A7H_3),2022-04-26T13:21:02.588+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560314134,142_(W10T_A7H_3),2022-04-26T13:21:02.588+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560314132,142_(W10T_A7H_3),2022-04-26T13:21:02.588+00:00,509554898,-70,198,509542314,W10T_A7H_B-1-6
560314213,142_(W10T_A7H_3),2022-04-26T13:21:09.693+00:00,509554898,-70,198,509542378,W10T_A7H_B-1-7
560314211,142_(W10T_A7H_3),2022-04-26T13:21:09.693+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560314260,142_(W10T_A7H_3),2022-04-26T13:21:16.800+00:00,509554898,-70,198,509558351,W10T_A7H_B-1-9
560314259,142_(W10T_A7H_3),2022-04-26T13:21:16.800+00:00,509554898,-70,198,509558438,W10T_A7H_B-1-10
560314299,142_(W10T_A7H_3),2022-04-26T13:21:23.905+00:00,509554898,-71,199,509558351,W10T_A7H_B-1-9
560314298,142_(W10T_A7H_3),2022-04-26T13:21:23.905+00:00,509554898,-72,200,509542314,W10T_A7H_B-1-6
560314296,142_(W10T_A7H_3),2022-04-26T13:21:23.905+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560314350,142_(W10T_A7H_3),2022-04-26T13:21:33.016+00:00,509554898,-73,201,509542378,W10T_A7H_B-1-7
560314349,142_(W10T_A7H_3),2022-04-26T13:21:33.016+00:00,509554898,-71,199,509542097,W10T_A7H_B-1-2
560314348,142_(W10T_A7H_3),2022-04-26T13:21:33.016+00:00,509554898,-71,199,509558566,W10T_A7H_B-1-11
560314371,142_(W10T_A7H_3),2022-04-26T13:21:38.114+00:00,509554898,-70,198,509542314,W10T_A7H_B-1-6
560314370,142_(W10T_A7H_3),2022-04-26T13:21:38.114+00:00,509554898,-70,198,509558351,W10T_A7H_B-1-9
560314369,142_(W10T_A7H_3),2022-04-26T13:21:38.114+00:00,509554898,-70,198,509542097,W10T_A7H_B-1-2
560314423,142_(W10T_A7H_3),2022-04-26T13:21:46.223+00:00,509554898,-71,199,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560314470,142_(W10T_A7H_3),2022-04-26T13:21:52.323+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560314469,142_(W10T_A7H_3),2022-04-26T13:21:52.323+00:00,509554898,-72,200,509542314,W10T_A7H_B-1-6
560314517,142_(W10T_A7H_3),2022-04-26T13:21:59.430+00:00,509554898,-71,199,509542097,W10T_A7H_B-1-2
560314516,142_(W10T_A7H_3),2022-04-26T13:21:59.430+00:00,509554898,-72,200,509558566,W10T_A7H_B-1-11
560314592,142_(W10T_A7H_3),2022-04-26T13:22:06.535+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560314591,142_(W10T_A7H_3),2022-04-26T13:22:06.535+00:00,509554898,-71,199,509558351,W10T_A7H_B-1-9
560314590,142_(W10T_A7H_3),2022-04-26T13:22:06.535+00:00,509554898,-74,202,509542378,W10T_A7H_B-1-7
560314659,142_(W10T_A7H_3),2022-04-26T13:22:13.639+00:00,509554898,-72,200,509558438,W10T_A7H_B-1-10
560314658,142_(W10T_A7H_3),2022-04-26T13:22:13.639+00:00,509554898,-75,203,509542378,W10T_A7H_B-1-7
560314692,142_(W10T_A7H_3),2022-04-26T13:22:20.744+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
